formula,A,B,C,X,Ra,Rb,Rc,RB,Rx,Tf,number
Li2NaTmBr6,Li,Na,Tm,Br,1.159,1.028,0.879,0.9535,1.955,7.278247152120657,1
Li2NaTmI6,Li,Na,Tm,I,1.159,1.028,0.879,0.9535,2.194,7.528902631931878,1
Li2NaYbF6,Li,Na,Yb,F,1.159,1.028,0.868,0.948,1.331,6.487726253482324,1
Li2NaYbCl6,Li,Na,Yb,Cl,1.159,1.028,0.868,0.948,1.806,6.988781105803,1
Li2NaYbBr6,Li,Na,Yb,Br,1.159,1.028,0.868,0.948,1.955,7.14595410158359,1
Li2NaYbI6,Li,Na,Yb,I,1.159,1.028,0.868,0.948,2.194,7.39806380622494,1
Li2NaLuF6,Li,Na,Lu,F,1.159,1.028,0.857,0.9425,1.331,6.35922991033482,1
Li2NaLuCl6,Li,Na,Lu,Cl,1.159,1.028,0.857,0.9425,1.806,6.863208690175668,1
Li2NaLuBr6,Li,Na,Lu,Br,1.159,1.028,0.857,0.9425,1.955,7.021298875852061,1
Li2NaLuI6,Li,Na,Lu,I,1.159,1.028,0.857,0.9425,2.194,7.274879777708825,1
Li2NaUF6,Li,Na,U,F,1.159,1.028,1.024,1.026,1.331,9.564900128694621,1
Li2NaUCl6,Li,Na,U,Cl,1.159,1.028,1.024,1.026,1.806,10.027863091657585,1
Li2NaUBr6,Li,Na,U,Br,1.159,1.028,1.024,1.026,1.955,10.173087263197544,1
Li2NaUI6,Li,Na,U,I,1.159,1.028,1.024,1.026,2.194,10.40603073298312,1
Li2KBF6,Li,K,B,F,1.159,1.388,0.266,0.827,1.331,4.761778919806978,1
Li2KBCl6,Li,K,B,Cl,1.159,1.388,0.266,0.827,1.806,5.336144095139505,1
Li2KBBr6,Li,K,B,Br,1.159,1.388,0.266,0.827,1.955,5.516313381717498,1
Li2KBI6,Li,K,B,I,1.159,1.388,0.266,0.827,2.194,5.805309754147969,1
Li2KNF6,Li,K,N,F,1.159,1.388,0.166,0.7769999999999999,1.331,4.443274032883119,1
Li2KNCl6,Li,K,N,Cl,1.159,1.388,0.166,0.7769999999999999,1.806,5.05459964420873,1
Li2KNBr6,Li,K,N,Br,1.159,1.388,0.166,0.7769999999999999,1.955,5.246362835971922,1
Li2KNI6,Li,K,N,I,1.159,1.388,0.166,0.7769999999999999,2.194,5.55395614356523,1
Li2KAlF6,Li,K,Al,F,1.159,1.388,0.537,0.9624999999999999,1.331,6.864522392506856,1
Li2KAlCl6,Li,K,Al,Cl,1.159,1.388,0.537,0.9624999999999999,1.806,7.35802888601335,1
Li2KAlBr6,Li,K,Al,Br,1.159,1.388,0.537,0.9624999999999999,1.955,7.5128340808185445,1
Li2KAlI6,Li,K,Al,I,1.159,1.388,0.537,0.9624999999999999,2.194,7.761145769130232,1
Li2KPF6,Li,K,P,F,1.159,1.388,0.444,0.9159999999999999,1.331,5.830459141812686,1
Li2KPCl6,Li,K,P,Cl,1.159,1.388,0.444,0.9159999999999999,1.806,6.349018093777753,1
Li2KPBr6,Li,K,P,Br,1.159,1.388,0.444,0.9159999999999999,1.955,6.511681849236268,1
Li2KPI6,Li,K,P,I,1.159,1.388,0.444,0.9159999999999999,2.194,6.772598879803953,1
Li2KScF6,Li,K,Sc,F,1.159,1.388,0.741,1.0645,1.331,13.051573608737584,1
Li2KScCl6,Li,K,Sc,Cl,1.159,1.388,0.741,1.0645,1.806,13.49779249084186,1
Li2KScBr6,Li,K,Sc,Br,1.159,1.388,0.741,1.0645,1.955,13.637764308596674,1
Li2KScI6,Li,K,Sc,I,1.159,1.388,0.741,1.0645,2.194,13.862282861908087,1
Li2KTiF6,Li,K,Ti,F,1.159,1.388,0.673,1.0305,1.331,9.862398262474034,1
Li2KTiCl6,Li,K,Ti,Cl,1.159,1.388,0.673,1.0305,1.806,10.323339553109648,1
Li2KTiBr6,Li,K,Ti,Br,1.159,1.388,0.673,1.0305,1.955,10.46792955796166,1
Li2KTiI6,Li,K,Ti,I,1.159,1.388,0.673,1.0305,2.194,10.69985580735516,1
Li2KVF6,Li,K,V,F,1.159,1.388,0.636,1.012,1.331,8.759259387831602,1
Li2KVCl6,Li,K,V,Cl,1.159,1.388,0.636,1.012,1.806,9.228626976764408,1
Li2KVBr6,Li,K,V,Br,1.159,1.388,0.636,1.012,1.955,9.375860178345436,1
Li2KVI6,Li,K,V,I,1.159,1.388,0.636,1.012,2.194,9.612026186250574,1
Li2KCrF6,Li,K,Cr,F,1.159,1.388,0.618,1.003,1.331,8.320357145097578,1
Li2KCrCl6,Li,K,Cr,Cl,1.159,1.388,0.618,1.003,1.806,8.79393640731094,1
Li2KCrBr6,Li,K,Cr,Br,1.159,1.388,0.618,1.003,1.955,8.942490744299972,1
Li2KCrI6,Li,K,Cr,I,1.159,1.388,0.618,1.003,2.194,9.180775888866272,1
Li2KMnF6,Li,K,Mn,F,1.159,1.388,0.645,1.0165,1.331,9.000360044883047,1
Li2KMnCl6,Li,K,Mn,Cl,1.159,1.388,0.645,1.0165,1.806,9.467649764509215,1
Li2KMnBr6,Li,K,Mn,Br,1.159,1.388,0.645,1.0165,1.955,9.614231171297213,1
Li2KMnI6,Li,K,Mn,I,1.159,1.388,0.645,1.0165,2.194,9.849351682856485,1
Li2KFeF6,Li,K,Fe,F,1.159,1.388,0.646,1.017,1.331,9.028127295789375,1
Li2KFeCl6,Li,K,Fe,Cl,1.159,1.388,0.646,1.017,1.806,9.49518727612369,1
Li2KFeBr6,Li,K,Fe,Br,1.159,1.388,0.646,1.017,1.955,9.641696617323298,1
Li2KFeI6,Li,K,Fe,I,1.159,1.388,0.646,1.017,2.194,9.876701533744143,1
Li2KCoF6,Li,K,Co,F,1.159,1.388,0.612,1.0,1.331,8.185561743721205,1
Li2KCoCl6,Li,K,Co,Cl,1.159,1.388,0.612,1.0,1.806,8.660561743721207,1
Li2KCoBr6,Li,K,Co,Br,1.159,1.388,0.612,1.0,1.955,8.809561743721206,1
Li2KCoI6,Li,K,Co,I,1.159,1.388,0.612,1.0,2.194,9.048561743721205,1
Li2KNiF6,Li,K,Ni,F,1.159,1.388,0.601,0.9944999999999999,1.331,7.951798330499917,1
Li2KNiCl6,Li,K,Ni,Cl,1.159,1.388,0.601,0.9944999999999999,1.806,8.429425278715101,1
Li2KNiBr6,Li,K,Ni,Br,1.159,1.388,0.601,0.9944999999999999,1.955,8.579249310892074,1
Li2KNiI6,Li,K,Ni,I,1.159,1.388,0.601,0.9944999999999999,2.194,8.819571080625607,1
Li2KCuF6,Li,K,Cu,F,1.159,1.388,0.62,1.004,1.331,8.366501747459118,1
Li2KCuCl6,Li,K,Cu,Cl,1.159,1.388,0.62,1.004,1.806,8.839609317180235,1
Li2KCuBr6,Li,K,Cu,Br,1.159,1.388,0.62,1.004,1.955,8.988015691682227,1
Li2KCuI6,Li,K,Cu,I,1.159,1.388,0.62,1.004,2.194,9.226063500447166,1
Li2KGaF6,Li,K,Ga,F,1.159,1.388,0.62,1.004,1.331,8.366501747459118,1
Li2KGaCl6,Li,K,Ga,Cl,1.159,1.388,0.62,1.004,1.806,8.839609317180235,1
Li2KGaBr6,Li,K,Ga,Br,1.159,1.388,0.62,1.004,1.955,8.988015691682227,1
Li2KGaI6,Li,K,Ga,I,1.159,1.388,0.62,1.004,2.194,9.226063500447166,1
Li2KAsF6,Li,K,As,F,1.159,1.388,0.583,0.9854999999999999,1.331,7.6028393203958435,1
Li2KAsCl6,Li,K,As,Cl,1.159,1.388,0.583,0.9854999999999999,1.806,8.084828158549065,1
Li2KAsBr6,Li,K,As,Br,1.159,1.388,0.583,0.9854999999999999,1.955,8.236020446727656,1
Li2KAsI6,Li,K,As,I,1.159,1.388,0.583,0.9854999999999999,2.194,8.478536935819486,1
Li2KYF6,Li,K,Y,F,1.159,1.388,0.899,1.1435,1.331,75.4438040620376,1
Li2KYCl6,Li,K,Y,Cl,1.159,1.388,0.899,1.1435,1.806,75.85919540440752,1
Li2KYBr6,Li,K,Y,Br,1.159,1.388,0.899,1.1435,1.955,75.98949710969829,1
Li2KYI6,Li,K,Y,I,1.159,1.388,0.899,1.1435,2.194,76.19850454301704,1
Li2KNbF6,Li,K,Nb,F,1.159,1.388,0.724,1.056,1.331,12.05310175507354,1
