formula,number
Rb2AgCuF6,1
Rb2AgCuCl6,1
Rb2AgCuBr6,1
Rb2AgGaF6,1
Rb2AgGaCl6,1
Rb2AgGaBr6,1
Rb2AgAsF6,1
Rb2AgAsCl6,1
Rb2AgAsBr6,1
Rb2AgYF6,1
Rb2AgYCl6,1
Rb2AgYBr6,1
Rb2AgNbF6,1
Rb2AgNbCl6,1
Rb2AgNbBr6,1
Rb2AgMoF6,1
Rb2AgMoCl6,1
Rb2AgMoBr6,1
Rb2AgRuF6,1
Rb2AgRuCl6,1
Rb2AgRuBr6,1
Rb2AgRhF6,1
Rb2AgRhCl6,1
Rb2AgRhBr6,1
Rb2AgPdF6,1
Rb2AgPdCl6,1
Rb2AgPdBr6,1
Rb2AgInF6,1
Rb2AgInCl6,1
Rb2AgInBr6,1
Rb2AgSbF6,1
Rb2AgSbCl6,1
Rb2AgSbBr6,1
Rb2AgTaF6,1
Rb2AgTaCl6,1
Rb2AgTaBr6,1
Rb2AgIrF6,1
Rb2AgIrCl6,1
Rb2AgIrBr6,1
Rb2AgAuF6,1
Rb2AgAuCl6,1
Rb2AgAuBr6,1
Rb2AgTlF6,1
Rb2AgTlCl6,1
Rb2AgTlBr6,1
Rb2AgBiF6,1
Rb2AgBiCl6,1
Rb2AgLaF6,1
Rb2AgLaCl6,1
Rb2AgCeF6,1
Rb2AgCeCl6,1
Rb2AgPrF6,1
Rb2AgPrCl6,1
Rb2AgNdF6,1
Rb2AgNdCl6,1
Rb2AgPmF6,1
Rb2AgPmCl6,1
Rb2AgSmF6,1
Rb2AgSmCl6,1
Rb2AgEuF6,1
Rb2AgEuCl6,1
Rb2AgEuBr6,1
Rb2AgGdF6,1
Rb2AgGdCl6,1
Rb2AgGdBr6,1
Rb2AgTbF6,1
Rb2AgTbCl6,1
Rb2AgTbBr6,1
Rb2AgDyF6,1
Rb2AgDyCl6,1
Rb2AgDyBr6,1
Rb2AgHoF6,1
Rb2AgHoCl6,1
Rb2AgHoBr6,1
Rb2AgErF6,1
Rb2AgErCl6,1
Rb2AgErBr6,1
Rb2AgTmF6,1
Rb2AgTmCl6,1
Rb2AgTmBr6,1
Rb2AgYbF6,1
Rb2AgYbCl6,1
Rb2AgYbBr6,1
Rb2AgLuF6,1
Rb2AgLuCl6,1
Rb2AgLuBr6,1
Rb2AgUF6,1
Rb2AgUCl6,1
Rb2CsBF6,1
Rb2CsBCl6,1
Rb2CsBBr6,1
Rb2CsNF6,1
Rb2CsNCl6,1
Rb2CsNBr6,1
Rb2CsAlF6,1
Rb2CsAlCl6,1
Rb2CsPF6,1
Rb2CsPCl6,1
Rb2CsScF6,1
Rb2CsTiF6,1
Rb2CsVF6,1
Rb2CsCrF6,1
Rb2CsMnF6,1
Rb2CsFeF6,1
Rb2CsCoF6,1
Rb2CsNiF6,1
Rb2CsCuF6,1
Rb2CsGaF6,1
Rb2CsAsF6,1
Rb2CsNbF6,1
Rb2CsMoF6,1
Rb2CsRuF6,1
