B_Density,C_dipole Polarizability,C_atomic Radius,C_number,A_number of s+p Electrons,C_number of s+p Electrons,A-C_Density,(A+B+C)-X_dipole Polarizability,(A+B+C)-X_atomic Radius,(A+B+C)-X_number of Valence Electrons,A-C_number,A-B_Period,A-C_Electronegativity,A-C_number of s+p Electrons,A-C_number of d Electrons,(A+B+C)-X_number of d Electrons,A-C_Mulliken EN,target
7.31,55.0,1.6,47.0,2.0,1.0,8.776,502.0,0.8499999999999979,26.0,9.0,3.0,0.29,1.0,10.0,40.0,0.3999999999999994,0
7.31,33.91,1.5,80.0,2.0,2.0,11.776,655.8699999999999,4.45,25.0,42.0,3.0,0.3600000000000001,0.0,10.0,20.0,0.0700000000000002,0
6.15,55.0,1.6,47.0,2.0,1.0,8.776,761.8,1.950000000000001,26.0,9.0,2.0,0.29,1.0,10.0,11.0,0.3999999999999994,0
0.534,36.0,1.35,79.0,2.0,1.0,17.576,757.0725,4.200000000000001,28.0,41.0,6.0,0.9000000000000001,1.0,10.0,10.0,0.9299999999999996,0
0.534,48.0,1.6,83.0,2.0,5.0,8.086,703.9125,1.450000000000001,34.0,45.0,6.0,0.3800000000000001,3.0,10.0,10.0,0.1499999999999994,1
0.534,48.0,1.6,83.0,2.0,5.0,8.086,769.0725,4.450000000000001,34.0,45.0,6.0,0.3800000000000001,3.0,10.0,10.0,0.1499999999999994,0
0.534,205.0,1.85,58.0,2.0,2.0,5.045999999999999,860.9125,1.700000000000001,36.0,20.0,6.0,0.5199999999999998,0.0,1.0,1.0,1.7399999999999998,0
0.534,83.0,1.4,24.0,2.0,1.0,5.426,804.0725,4.25,33.0,14.0,6.0,0.02,1.0,5.0,5.0,1.1199999999999997,1
0.534,50.0,1.3,31.0,2.0,3.0,4.186,771.0725,4.15,36.0,7.0,6.0,0.1700000000000001,1.0,0.0,0.0,1.6399999999999997,1
0.534,65.0,1.55,49.0,2.0,3.0,5.585999999999999,720.9125,1.4000000000000004,36.0,11.0,6.0,0.1400000000000001,1.0,10.0,10.0,1.7399999999999998,1
0.534,208.0,1.85,60.0,2.0,2.0,5.286,929.0725,4.700000000000001,36.0,22.0,6.0,0.5,0.0,0.0,0.0,1.7399999999999998,0
0.534,49.0,1.35,28.0,2.0,2.0,7.186,770.0725,4.200000000000001,29.0,10.0,6.0,0.27,0.0,8.0,8.0,0.4399999999999995,0
0.534,43.0,1.45,51.0,2.0,5.0,4.966,764.0725,4.300000000000001,34.0,13.0,6.0,0.4099999999999999,3.0,10.0,10.0,0.0099999999999997,0
0.534,97.0,1.6,21.0,2.0,2.0,1.2660000000000002,818.0725,4.450000000000001,36.0,17.0,6.0,0.2799999999999998,0.0,1.0,1.0,1.5,1
0.534,74.0,1.45,73.0,2.0,2.0,14.976,620.1125000000001,1.099999999999998,34.0,35.0,6.0,0.1399999999999999,0.0,3.0,57.0,0.7299999999999995,0
0.534,170.0,1.75,65.0,2.0,2.0,6.506,825.9125,1.6000000000000003,36.0,27.0,6.0,0.4399999999999999,0.0,0.0,0.0,1.7399999999999998,0
0.534,50.0,1.9,81.0,2.0,3.0,10.176,705.9125,1.75,36.0,43.0,6.0,0.4000000000000001,1.0,10.0,10.0,1.6399999999999997,0
0.534,144.0,1.75,69.0,2.0,2.0,7.596,799.9125,1.6000000000000003,36.0,31.0,6.0,0.3899999999999999,0.0,0.0,0.0,1.7399999999999998,1
7.44,33.91,1.5,80.0,2.0,2.0,11.776,658.8699999999999,4.300000000000001,21.0,42.0,4.0,0.3600000000000001,0.0,10.0,15.0,0.0700000000000002,0
0.971,36.0,1.35,79.0,2.0,1.0,17.576,690.4999999999999,1.5500000000000007,28.0,41.0,5.0,0.9000000000000001,1.0,10.0,10.0,0.9299999999999996,0
0.971,83.0,1.4,24.0,2.0,1.0,5.426,737.4999999999999,1.5999999999999996,33.0,14.0,5.0,0.02,1.0,5.0,5.0,1.1199999999999997,1
0.971,158.0,1.8,64.0,2.0,2.0,6.176,812.4999999999999,2.0,36.0,26.0,5.0,0.4399999999999999,0.0,1.0,1.0,1.7399999999999998,0
0.971,215.0,1.95,57.0,2.0,2.0,4.426,869.4999999999999,2.1500000000000004,36.0,19.0,5.0,0.5399999999999998,0.0,1.0,1.0,1.7399999999999998,0
