B_Density,C_dipole Polarizability,C_atomic Radius,C_number,A_number of s+p Electrons,C_number of s+p Electrons,A-C_Density,(A+B+C)-X_dipole Polarizability,(A+B+C)-X_atomic Radius,(A+B+C)-X_number of Valence Electrons,A-C_number,A-B_Period,A-C_Electronegativity,A-C_number of s+p Electrons,A-C_number of d Electrons,(A+B+C)-X_number of d Electrons,A-C_Mulliken EN,target
0.971,50.0,1.9,81.0,2.0,3.0,10.176,704.4999999999999,2.1,36.0,43.0,5.0,0.4000000000000001,1.0,10.0,10.0,1.6399999999999997,0
0.971,144.0,1.75,69.0,2.0,2.0,7.596,798.4999999999999,1.95,36.0,31.0,5.0,0.3899999999999999,0.0,0.0,0.0,1.7399999999999998,0
0.971,162.0,1.8,39.0,2.0,2.0,2.746,778.0999999999999,1.1000000000000003,36.0,1.0,5.0,0.4199999999999999,0.0,1.0,1.0,1.65,0
0.971,162.0,1.8,39.0,2.0,2.0,2.746,706.6999999999999,0.3999999999999986,36.0,1.0,5.0,0.4199999999999999,0.0,1.0,59.0,1.65,0
8.57,33.91,1.5,80.0,2.0,2.0,11.776,688.8699999999999,4.3500000000000005,23.0,42.0,3.0,0.3600000000000001,0.0,10.0,14.0,0.0700000000000002,0
6.77,46.5,1.35,29.0,2.0,1.0,7.236000000000001,754.3,1.5999999999999996,26.0,9.0,2.0,0.26,1.0,10.0,10.0,0.3599999999999994,0
6.77,46.5,1.35,29.0,2.0,1.0,7.236000000000001,819.4599999999999,4.6,26.0,9.0,2.0,0.26,1.0,10.0,10.0,0.3599999999999994,0
1.53,57.8,1.25,13.0,2.0,3.0,0.9760000000000002,934.56,5.0,36.0,25.0,3.0,0.0299999999999998,1.0,0.0,0.0,1.61,0
1.53,48.0,1.6,83.0,2.0,5.0,8.086,859.6,2.35,34.0,45.0,3.0,0.3800000000000001,3.0,10.0,10.0,0.1499999999999994,0
1.53,48.0,1.6,83.0,2.0,5.0,8.086,924.76,5.35,34.0,45.0,3.0,0.3800000000000001,3.0,10.0,10.0,0.1499999999999994,0
1.53,158.0,1.8,64.0,2.0,2.0,6.176,969.6,2.5500000000000007,36.0,26.0,3.0,0.4399999999999999,0.0,1.0,1.0,1.7399999999999998,0
1.53,65.0,1.55,49.0,2.0,3.0,5.585999999999999,876.6,2.3000000000000007,36.0,11.0,3.0,0.1400000000000001,1.0,10.0,10.0,1.7399999999999998,0
1.53,137.0,1.75,71.0,2.0,2.0,8.116,948.6,2.5,36.0,33.0,3.0,0.3699999999999999,0.0,1.0,1.0,1.7399999999999998,0
1.53,216.0,1.85,59.0,2.0,2.0,5.045999999999999,1027.6,2.6,36.0,21.0,3.0,0.51,0.0,0.0,0.0,1.7399999999999998,0
1.53,97.0,1.6,21.0,2.0,2.0,1.2660000000000002,908.6,2.35,36.0,17.0,3.0,0.2799999999999998,0.0,1.0,1.0,1.5,0
1.53,97.0,1.6,21.0,2.0,2.0,1.2660000000000002,973.76,5.35,36.0,17.0,3.0,0.2799999999999998,0.0,1.0,1.0,1.5,0
1.53,87.0,1.35,23.0,2.0,2.0,4.386,963.76,5.1,34.0,15.0,3.0,0.01,0.0,3.0,3.0,1.2399999999999998,0
1.53,162.0,1.8,39.0,2.0,2.0,2.746,935.2,1.6500000000000012,36.0,1.0,3.0,0.4199999999999999,0.0,1.0,1.0,1.65,0
1.53,162.0,1.8,39.0,2.0,2.0,2.746,863.8000000000001,0.1500000000000021,36.0,1.0,3.0,0.4199999999999999,0.0,1.0,59.0,1.65,0
2.99,55.0,1.6,47.0,2.0,1.0,8.776,605.4,0.7000000000000002,26.0,9.0,4.0,0.29,1.0,10.0,11.0,0.3999999999999994,1
2.99,33.91,1.5,80.0,2.0,2.0,11.776,622.7099999999999,1.5,25.0,42.0,4.0,0.3600000000000001,0.0,10.0,11.0,0.0700000000000002,0
2.99,65.0,1.55,49.0,2.0,3.0,5.585999999999999,653.8,1.5499999999999998,34.0,11.0,4.0,0.1400000000000001,1.0,10.0,11.0,1.7399999999999998,0
7.52,55.0,1.6,47.0,2.0,1.0,8.776,738.8,1.85,26.0,9.0,2.0,0.29,1.0,10.0,10.0,0.3999999999999994,0
4.54,55.0,1.6,47.0,2.0,1.0,8.776,711.9599999999999,4.4,25.0,9.0,4.0,0.29,1.0,10.0,12.0,0.3999999999999994,0
4.54,33.91,1.5,80.0,2.0,2.0,11.776,690.8699999999999,4.300000000000001,24.0,42.0,4.0,0.3600000000000001,0.0,10.0,12.0,0.0700000000000002,0
11.9,55.0,1.6,47.0,2.0,1.0,8.776,487.0,0.4999999999999982,26.0,9.0,2.0,0.29,1.0,10.0,40.0,0.3999999999999994,0
11.9,30.0,1.15,33.0,2.0,5.0,4.056,462.0,0.9499999999999976,32.0,5.0,2.0,0.5400000000000003,3.0,0.0,50.0,0.4599999999999999,0
11.9,83.0,1.4,24.0,2.0,1.0,5.426,689.9599999999999,4.700000000000001,31.0,14.0,2.0,0.02,1.0,5.0,15.0,1.1199999999999997,0
11.9,50.0,1.3,31.0,2.0,3.0,4.186,482.0,0.799999999999998,34.0,7.0,2.0,0.1700000000000001,1.0,0.0,50.0,1.6399999999999997,0
11.9,65.0,1.55,49.0,2.0,3.0,5.585999999999999,671.9599999999999,4.8500000000000005,34.0,11.0,2.0,0.1400000000000001,1.0,10.0,20.0,1.7399999999999998,0
